id,created_at,bar_start,timeframe,slug,meta_timeframe,meta_checkpoint_minute,meta_bar_start_utc,meta_minutes_remaining,meta_data_age_s,meta_feeds_healthy_binance_spot,meta_feeds_healthy_binance_perp,meta_feeds_healthy_coinbase,meta_feeds_healthy_polymarket,meta_feeds_healthy_liq_stream,candle_state_open,candle_state_last,candle_state_high,candle_state_low,candle_state_cushion_usd,candle_state_cushion_sign,candle_state_cushion_atr1m,candle_state_expected_remaining_move_usd,candle_state_reachability_ratio,candle_state_high_low_position,candle_state_time_above_open_pct,candle_state_max_adverse_excursion_usd,flaa_depth_flip_path_usd,flaa_depth_continuation_usd,flaa_path_asymmetry_ratio,flaa_flip_path_consumed_180s_usd,flaa_flip_path_replenish_ratio,flaa_iceberg_refill_count,flaa_est_flow_to_flip_usd,flaa_flow_to_flip_minutes_at_current_rate,flaa_defended,tape_cvd_candle_usd,tape_cvd_delta_1m,tape_cvd_delta_3m,tape_cvd_slope_r2,tape_cvd_trajectory,tape_sweep_events_3m_buy_sweeps,tape_sweep_events_3m_sell_sweeps,tape_sweep_events_3m_largest_sweep_usd,tape_sweep_events_3m_largest_sweep_side,tape_sweep_events_3m_sweep_price_impact_bps,tape_efficiency_3m,tape_absorption_flag,tape_absorption_side,tape_absorption_strength,tape_large_print_net_3m_usd,perp_spot_divergence_basis_usd_now,perp_spot_divergence_basis_delta_3m,perp_spot_divergence_perp_cvd_minus_spot_cvd_5m_usd,perp_spot_divergence_leader_venue_3m,perp_spot_divergence_oi_delta_candle_pct,perp_spot_divergence_oi_price_regime,perp_spot_divergence_funding_rate,liquidations_nearest_liq_cluster_above_usd,liquidations_nearest_liq_cluster_below_usd,cross_venue_coinbase_premium_usd,cross_venue_coinbase_premium_slope_3m,cross_venue_venue_cvd_agreement,cross_venue_us_spot_leading,htf_context_trend_1h_dir,htf_context_trend_1h_adx,htf_context_trend_1h_price_vs_ema50,htf_context_vwap_stack_above_session_vwap,htf_context_vwap_stack_above_24h_vwap,htf_context_vwap_stack_vwap_compression,htf_context_key_levels_nearest_above_type,htf_context_key_levels_nearest_above_dist_usd,htf_context_key_levels_nearest_below_type,htf_context_key_levels_nearest_below_dist_usd,htf_context_key_levels_inside_value_area,polymarket_implied_prob_up,polymarket_implied_prob_5m_ago,polymarket_prob_momentum_5m,polymarket_yes_book_best_bid,polymarket_yes_book_best_ask,polymarket_yes_book_depth_usd_2c,polymarket_sharp_flow_flag,polymarket_model_vs_market_edge,empirical_prior_lookback_days,empirical_prior_bucket,empirical_prior_hold_rate,empirical_prior_n_samples,empirical_prior_hold_rate_minute11_same_bucket,empirical_prior_bucket_computed_at,ensemble_p_up,ensemble_conviction_tier,ensemble_tier_definition_high,ensemble_tier_definition_med,ensemble_tier_definition_low,ensemble_signal_agreement_count,ensemble_disagreement_index,ensemble_dominant_factors,ensemble_polymarket_edge_pct,outcome,,,,,,x
633ac988-ba9f-4653-b6dd-f69464176475,2026-06-15 20:51:00.633083+00,2026-06-15 20:45:00 UTC,15m,btc-updown-15m-1781556300,15m,6,2026-06-15 20:45:00 UTC,9,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,66592.02,66520.9,66592.02,66489.86,71,-1,2.271,94,0.757,0.304,0,0,79436319,15117467,5.255,0,0,0,99295398,99,FALSE,-109936,233708,86251,0.255,flat,2,1,94126,buy,0.9,29.163,FALSE,,0,136283,-37.05,-4.84,-4382791,none,-0.025,neutral,-0.00003675,66600,66500,-30.96,3.088,1,TRUE,up,44.427,2.954,TRUE,TRUE,1.381,poc_4h,316.6,round_66500,20.9,TRUE,0.185,0.405,-0.22,0.18,0.19,325,,-7.4,30,cushion_>1.5atr__cvd3m_flat__min6,0.7734,317,0.9021,1.78E+12,0.1111,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""flaa_asymmetry"",""polymarket_momentum"",""candle_cushion""]",-7.4,down,,,,,,
cecd19c9-c0b3-4100-81b2-d275cca6199a,2026-06-15 20:46:00.513247+00,2026-06-15 20:45:00 UTC,15m,btc-updown-15m-1781556300,15m,1,2026-06-15 20:45:00 UTC,14,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66592.02,66562,66592.02,66552,30,-1,1.02,110,0.273,0.25,0,0,10081604,2756937,3.657,0,0,0,12602005,99,FALSE,89717,89717,-11713,,,4,4,47025,buy,0.74,1225.544,FALSE,,0,0,-34.35,0.35,-4195324,none,0.002,neutral,-0.00003698,66600,66500,-31.41,4.173,0,TRUE,up,44.427,3.056,TRUE,TRUE,1.394,poc_4h,275.5,round_66500,62,TRUE,0.405,,,0.4,0.41,597,,-4.7,30,cushion_1.0-1.5atr__cvd3m_flat__min1,0.5787,83,0.7594,1.78E+12,0.3577,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,3_of_7,0.57,"[""flaa_asymmetry"",""htf_trend"",""perp_basis""]",-4.7,down,,,,,,
940987bc-4f77-4389-aa3d-9244008d3e38,2026-06-15 20:41:00.527783+00,2026-06-15 20:30:00 UTC,15m,btc-updown-15m-1781555400,15m,11,2026-06-15 20:30:00 UTC,4,1.6,TRUE,TRUE,TRUE,TRUE,FALSE,66578,66664.77,66681.3,66577.99,87,1,2.909,60,1.455,0.84,0.986,0,34945081,43240628,0.808,0,0,0,43681351,99,FALSE,216350,-48250,-58995,0.398,flat,0,3,52337,sell,0.94,32.928,FALSE,,0,0,-33.51,-4.66,1495719,none,0.016,neutral,-0.00003705,66750,66650,-29.57,0.265,0,TRUE,up,44.427,3.311,TRUE,TRUE,1.349,poc_4h,172.73,round_66500,164.77,FALSE,0.965,0.855,0.11,0.96,0.97,3505,FALSE,-2.7,30,cushion_>1.5atr__cvd3m_flat__min11,0.9021,409,,1.78E+12,0.9383,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""candle_cushion"",""polymarket_momentum"",""tape_flat""]",-2.7,up,,,,,,
7be594b2-bd7a-4286-a95a-c3aae994700a,2026-06-15 20:36:00.537428+00,2026-06-15 20:30:00 UTC,15m,btc-updown-15m-1781555400,15m,6,2026-06-15 20:30:00 UTC,9,0.9,TRUE,TRUE,TRUE,TRUE,FALSE,66578,66657.16,66681.3,66577.99,79,1,2.388,99,0.796,0.766,0.975,0,15405169,34337595,0.449,0,0,0,19256461,99,FALSE,296352,13138,380112,0.234,accelerating_positive,2,1,30668,sell,0.52,11.426,FALSE,,0,0,-34.82,-0.97,3769512,none,0.012,neutral,-0.00003767,66750,66650,-34.73,-9.46,1,FALSE,up,44.427,3.292,TRUE,TRUE,1.373,poc_4h,180.34,round_66500,157.16,FALSE,0.855,0.735,0.12,0.85,0.86,1312,FALSE,7,30,cushion_>1.5atr__cvd3m_confirming__min6,0.8592,923,0.9446,1.78E+12,0.9247,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,6_of_8,0.25,"[""polymarket_momentum"",""candle_cushion"",""tape_accelerating_positive""]",7,up,,,,,,
f57abaab-465c-4885-8d0d-c65fa2771cb4,2026-06-15 20:31:00.488108+00,2026-06-15 20:30:00 UTC,15m,btc-updown-15m-1781555400,15m,1,2026-06-15 20:30:00 UTC,14,0.2,TRUE,TRUE,TRUE,TRUE,FALSE,66578,66637.99,66637.99,66577.99,60,1,1.862,121,0.498,1,0.867,0,11231230,27236703,0.412,0,0,0,14039037,99,FALSE,200816,200816,451220,,,1,0,63790,buy,0.75,15.506,FALSE,,0,0,-27.24,5.49,1903051,none,0.002,neutral,-0.00003955,66650,66600,-27.29,14.486,0,FALSE,up,44.427,3.245,TRUE,TRUE,1.391,poc_4h,199.51,round_66500,137.99,FALSE,0.745,,,0.74,0.75,1556,,7.1,30,cushion_>1.5atr__cvd3m_confirming__min1,0.7063,290,0.9446,1.78E+12,0.8159,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_7,0.29,"[""tape_sweeps"",""flaa_asymmetry"",""candle_cushion""]",7.1,up,,,,,,
ad38561f-9448-408e-93c0-1fc9ec2ca3b6,2026-06-15 20:26:00.515957+00,2026-06-15 20:15:00 UTC,15m,btc-updown-15m-1781554500,15m,11,2026-06-15 20:15:00 UTC,4,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,66558,66573.61,66610.41,66520,16,1,0.49,64,0.245,0.593,0.293,-38,1345713,5318125,0.253,0,0,0,1682141,20.861,FALSE,3204588,-16626,262730,0.8,rising,2,3,78035,sell,0.44,2.153,FALSE,,0,0,-28.66,0.18,-326711,none,-0.021,neutral,-0.0000401,66600,66500,-32.19,-0.105,1,FALSE,up,44.427,3.085,TRUE,TRUE,1.339,poc_4h,263.89,round_66500,73.61,TRUE,0.625,0.475,0.15,0.62,0.63,953,TRUE,9.9,30,cushion_<0.5atr__cvd3m_confirming__min11,0.6078,142,,1.78E+12,0.724,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,7_of_8,0.12,"[""polymarket_momentum"",""flaa_asymmetry"",""htf_trend""]",9.9,up,,,,,,
f5604156-2344-447b-aeda-1e3a720d3fe2,2026-06-15 20:21:00.501364+00,2026-06-15 20:15:00 UTC,15m,btc-updown-15m-1781554500,15m,6,2026-06-15 20:15:00 UTC,9,2.5,TRUE,TRUE,TRUE,TRUE,FALSE,66558,66551.64,66560.01,66520,6,-1,0.198,96,0.066,0.791,0.118,-2,1754388,439274,3.994,0,0,0,2192985,2.792,FALSE,2783106,201027,2857115,0.595,accelerating_positive,2,2,52571,buy,0.41,0.388,FALSE,,0,602425,-30.69,-2.24,-4677712,none,-0.031,long_liquidation,-0.00004178,66600,66500,-33.22,-5.264,0,FALSE,up,44.427,3.03,TRUE,TRUE,1.35,poc_4h,285.86,round_66500,51.64,TRUE,0.475,0.495,-0.02,0.47,0.48,443,FALSE,-10.5,30,cushion_<0.5atr__cvd3m_diverging__min6,0.5026,169,0.5261,1.78E+12,0.37,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""flaa_asymmetry"",""perp_long_liquidation"",""tape_accelerating_positive""]",-10.5,up,,,,,,
547fb962-8dcd-4822-ac5b-ecea916b7366,2026-06-15 20:16:00.472474+00,2026-06-15 20:15:00 UTC,15m,btc-updown-15m-1781554500,15m,1,2026-06-15 20:15:00 UTC,14,1.5,TRUE,TRUE,TRUE,TRUE,FALSE,66558,66557.99,66560.01,66550.04,0,-1,0,140,0,0.797,0.778,-2,0,0,,0,0,0,0,0,,59457,59457,-57517,,,2,3,44129,sell,0.47,14.447,FALSE,,0,0,-35.67,-5.41,2045190,none,-0.001,neutral,-0.00004268,66600,66500,-31.48,-2.427,0,FALSE,up,44.427,3.046,TRUE,TRUE,1.366,poc_4h,279.51,round_66500,57.99,TRUE,0.495,,,0.49,0.5,798,,-5.8,30,cushion_<0.5atr__cvd3m_flat__min1,0.5401,287,0.5192,1.78E+12,0.4374,LOW,>=0.72 or <=0.28,0.60-0.72,<0.60,3_of_6,0.5,"[""htf_trend"",""perp_basis"",""tape_sweeps""]",-5.8,up,,,,,,
6d2a18b6-7d59-4083-b967-323afc851e82,2026-06-15 20:11:00.616352+00,2026-06-15 20:00:00 UTC,15m,btc-updown-15m-1781553600,15m,11,2026-06-15 20:00:00 UTC,4,0.1,TRUE,TRUE,TRUE,TRUE,FALSE,66615.98,66569.99,66630,66506.43,46,-1,1.068,86,0.534,0.514,0.092,-14,18060491,6511640,2.774,0,0,0,22575614,41.239,FALSE,165407,-139778,96857,0.634,flat,3,0,70116,buy,0.63,2.707,FALSE,,0,0,-27.04,3.85,2183662,none,0.071,new_shorts,-0.00004422,66600,66500,-32.5,-2.105,0,FALSE,up,44.427,3.076,TRUE,TRUE,1.329,poc_4h,267.51,round_66500,69.99,TRUE,0.345,0.365,-0.02,0.34,0.35,596,,-15,30,cushion_1.0-1.5atr__cvd3m_flat__min11,0.7571,80,,1.78E+12,0.1948,HIGH,>=0.72 or <=0.28,0.60-0.72,<0.60,5_of_8,0.38,"[""flaa_asymmetry"",""candle_cushion"",""tape_flat""]",-15,down,,,,,,
edc01cb0-c834-4f55-84ed-5be9e9d542d5,2026-06-15 20:06:00.466642+00,2026-06-15 20:00:00 UTC,15m,btc-updown-15m-1781553600,15m,6,2026-06-15 20:00:00 UTC,9,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,66615.98,66560.01,66630,66506.43,56,-1,1.115,151,0.372,0.434,0.137,-14,18998061,7218825,2.632,0,0,0,23747576,99,FALSE,-153785,84699,188817,0.003,flat,4,1,230665,buy,0.52,22.57,FALSE,,0,230221,-34.36,4,-28943,none,0.018,neutral,-0.00004525,66600,66500,-34.71,-4.585,1,FALSE,up,44.427,3.051,TRUE,TRUE,1.331,poc_4h,277.49,round_66500,60.01,TRUE,0.365,0.295,0.07,0.36,0.37,491,,-4.5,30,cushion_1.0-1.5atr__cvd3m_diverging__min6,0.6865,101,0.737,1.78E+12,0.3203,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,3_of_8,0.62,"[""flaa_asymmetry"",""polymarket_momentum"",""candle_cushion""]",-4.5,down,,,,,,
3bde9eab-90e8-440e-89cd-201e802f4b33,2026-06-15 20:01:00.614935+00,2026-06-15 20:00:00 UTC,15m,btc-updown-15m-1781553600,15m,1,2026-06-15 20:00:00 UTC,14,0.2,TRUE,TRUE,TRUE,TRUE,FALSE,66615.98,66517.99,66617.5,66506.43,98,-1,2.121,173,0.567,0.104,0.022,-2,35061833,22334706,1.57,0,0,0,43827291,99,FALSE,-399132,-399132,-73060,,,5,6,135314,buy,0.25,90.155,FALSE,,0,-179042,-30.35,0.1,-5944650,none,0.011,neutral,-0.00004597,66600,66500,-29.35,0.848,0,TRUE,up,46.38,2.758,TRUE,TRUE,1.339,poc_4h,319.51,round_66500,17.99,TRUE,0.295,,,0.29,0.3,299,,0.4,30,cushion_>1.5atr__cvd3m_flat__min1,0.668,97,0.9021,1.78E+12,0.2987,MED,>=0.72 or <=0.28,0.60-0.72,<0.60,4_of_7,0.43,"[""flaa_asymmetry"",""candle_cushion"",""htf_trend""]",0.4,down,,,,,,
